Id,Symbol,ScientificName,CommonName,Group,Durations,GrowthHabits
35639,EUFI14,<i>Eutrochium fistulosum</i> (Barratt) E.E. Lamont,trumpetweed,Dicot,['Perennial'],['Forb/herb']
35659,EUPU21,<i>Eutrochium purpureum</i> (L.) E.E. Lamont,sweetscented joe pye weed,Dicot,['Perennial'],['Forb/herb']
89751,FRVI,<i>Fragaria virginiana</i> Duchesne,Virginia strawberry,Dicot,['Perennial'],['Forb/herb']
44077,GECL,<i>Gentiana clausa</i> Raf.,bottle gentian,Dicot,['Perennial'],['Forb/herb']
83748,GEMA,<i>Geranium maculatum</i> L.,spotted geranium,Dicot,['Perennial'],['Forb/herb']
91870,WAFR,<i>Waldsteinia fragarioides</i> (Michx.) Tratt.,Appalachian barren strawberry,Dicot,['Perennial'],['Forb/herb']
89856,GITR6,<i>Gillenia trifoliata</i> (L.) Moench,Bowman's root,Dicot,['Perennial'],"['Forb/herb', 'Subshrub']"
36117,HEAU,<i>Helenium autumnale</i> L.,common sneezeweed,Dicot,['Perennial'],['Forb/herb']
36143,HEFL,<i>Helenium flexuosum</i> Raf.,purplehead sneezeweed,Dicot,['Perennial'],['Forb/herb']
36186,HEAN2,<i>Helianthus angustifolius</i> L.,swamp sunflower,Dicot,['Perennial'],['Forb/herb']
36212,HEDE,<i>Helianthus decapetalus</i> L.,thinleaf sunflower,Dicot,['Perennial'],['Forb/herb']
36227,HEDI2,<i>Helianthus divaricatus</i> L.,woodland sunflower,Dicot,['Perennial'],['Forb/herb']
36245,HEGR4,<i>Helianthus grosseserratus</i> M. Martens,sawtooth sunflower,Dicot,['Perennial'],['Forb/herb']
36265,HEMA2,<i>Helianthus maximiliani</i> Schrad.,Maximilian sunflower,Dicot,['Perennial'],['Forb/herb']
36339,HETU,<i>Helianthus tuberosus</i> L.,Jerusalem artichoke,Dicot,['Perennial'],['Forb/herb']
36349,HEHE5,<i>Heliopsis helianthoides</i> (L.) Sweet,smooth oxeye,Dicot,['Perennial'],['Forb/herb']
73127,HENOA,<i>Hepatica nobilis</i> Schreb. var. <i>acuta</i> (Pursh) Steyerm.,sharplobe hepatica,Dicot,['Perennial'],['Forb/herb']
73132,HENOO,<i>Hepatica nobilis</i> Schreb. var. <i>obtusa</i> (Pursh) Steyerm.,roundlobe hepatica,Dicot,['Perennial'],['Forb/herb']
73126,HENO2,<i>Hepatica nobilis</i> Schreb.,hepatica,Dicot,['Perennial'],['Forb/herb']
74048,HEMA80,<i>Heracleum maximum</i> W. Bartram,common cowparsnip,Dicot,['Perennial'],['Forb/herb']
91943,HEAM6,<i>Heuchera americana</i> L.,American alumroot,Dicot,['Perennial'],['Forb/herb']
92054,HEVI2,<i>Heuchera villosa</i> Michx.,hairy alumroot,Dicot,['Perennial'],['Forb/herb']
66037,HILA2,<i>Hibiscus laevis</i> All.,halberdleaf rosemallow,Dicot,['Perennial'],['Forb/herb']
66050,HIMO,<i>Hibiscus moscheutos</i> L.,crimsoneyed rosemallow,Dicot,"['Annual', 'Perennial']","['Forb/herb', 'Subshrub']"
48282,HOCA4,<i>Houstonia caerulea</i> L.,azure bluet,Dicot,['Perennial'],['Forb/herb']
48300,HOLO,<i>Houstonia longifolia</i> Gaertn.,longleaf summer bluet,Dicot,['Perennial'],['Forb/herb']
92324,SAMI5,<i>Saxifraga michauxii</i> Britton,Michaux's saxifrage,Dicot,['Perennial'],['Forb/herb']
